Aika,Hinta_snt_per_kWh,Keskituulen_nopeus_m_per_s,Lampotilan_keskiarvo_C,Kulutus_kWh_per_h,Tuotanto_kW,is_holiday,predictions
2024-10-27 00:00:00,-0.005,3.2,10.8,8126033.333333333,8686523.333333334,0,4.071104547619047
2024-10-27 01:00:00,-0.011,1.9,10.8,8083550.0,8687412.5,0,7.159644357142858
2024-10-27 02:00:00,-0.048,1.8,10.8,8085450.0,8681725.0,0,7.050071357142858
2024-10-27 03:00:00,-0.081,1.8,10.8,8113300.0,8684307.5,0,7.222842190476191
2024-10-27 04:00:00,-0.101,2.3,10.7,8201450.0,8703665.0,0,10.90208028571429
2024-10-27 05:00:00,-0.163,3.2,10.9,8335775.0,8872855.0,0,10.651713285714289
2024-10-27 06:00:00,-0.1,3.9,10.5,8463500.0,9136340.0,0,10.85178242857143
2024-10-27 07:00:00,-0.08,4.5,10.6,8579400.0,9422185.0,0,8.48275633333333
2024-10-27 08:00:00,-0.054,4.4,10.7,8714600.0,9661072.5,0,7.357792333333329
2024-10-27 09:00:00,-0.048,4.2,10.8,8829325.0,9921710.0,0,6.284512833333331
2024-10-27 10:00:00,-0.011,4.0,10.8,8855700.0,10189250.0,0,5.686485047619047
2024-10-27 11:00:00,-0.009,4.1,11.0,8903600.0,10483250.0,0,4.171002476190475
2024-10-27 12:00:00,-0.008,4.9,11.0,8954400.0,10682250.0,0,3.855047428571427
2024-10-27 13:00:00,-0.007,5.4,11.1,8997350.0,10904025.0,0,3.5457729999999983
2024-10-27 14:00:00,-0.002,5.2,11.2,9095025.0,11128150.0,0,3.10634507142857
2024-10-27 15:00:00,0.0,5.9,11.2,9224100.0,11641625.0,0,2.300584547619047
2024-10-27 16:00:00,0.001,7.0,11.2,9444025.0,12014050.0,0,3.051241547619049
2024-10-27 17:00:00,0.054,7.8,11.1,9518900.0,12157000.0,0,3.453819904761906
2024-10-27 18:00:00,0.0,8.5,11.0,9307250.0,12056450.0,0,2.936913500000001
2024-10-27 19:00:00,-0.002,7.9,10.9,9011700.0,11509250.0,0,2.124669833333333
2024-10-27 20:00:00,-0.048,8.1,10.8,8927750.0,10946500.0,0,2.0681927857142854
2024-10-27 21:00:00,-0.1,8.5,10.6,8884175.0,10330025.0,0,2.2126160952380958
2024-10-27 22:00:00,-0.2,9.6,10.5,8775750.0,10111400.0,0,2.280328642857144
